"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"1",12423041,2021-12-17,2022-01-07,2,2,12,"Agencia_61",52.5,"Cancelled"
"2",12423225,2021-12-17,2022-01-07,2,2,12,"Agencia_61",52.5,"Cancelled"
"3",12423227,2021-12-17,2022-01-09,1,1,12,"Agencia_61",50.1,"Cancelled"
"4",12912535,2022-02-18,2022-02-19,1,2,4,"Agencia_52",0,"Confirmed"
"5",10194056,2020-09-16,2021-01-20,4,3,4,"Agencia_10",60.69,"Confirmed"
"6",10195045,2020-11-06,2021-02-26,3,2,4,"Agencia_10",71.4,"Confirmed"
"7",10195046,2020-11-06,2021-02-26,3,1,4,"Agencia_10",71.4,"Confirmed"
"8",10197786,2020-11-07,2021-02-26,2,2,4,"Agencia_10",62.205,"Confirmed"
"9",10195047,2020-11-06,2021-02-26,3,1,4,"Agencia_10",71.4,"Confirmed"
"10",10195048,2020-11-06,2021-02-26,3,2,4,"Agencia_10",71.4,"Confirmed"
"11",10195049,2020-11-06,2021-02-26,3,1,4,"Agencia_10",71.4,"Confirmed"
"12",10213573,2020-11-13,2021-01-18,13,2,4,"Agencia_10",46.5738461538462,"Confirmed"
"13",10229287,2020-12-03,2021-01-05,1,2,4,"Agencia_10",44.31,"Confirmed"
"14",10276120,2020-12-06,2021-01-02,4,2,4,"Agencia_10",51.975,"Cancelled"
"15",10292697,2020-12-12,2021-02-20,5,2,4,"Agencia_10",43.066,"Confirmed"
"16",10263630,2020-12-03,2021-01-06,4,2,4,"Agencia_10",41.715,"Confirmed"
"17",10283317,2020-12-09,2021-01-01,13,1,4,"Agencia_10",40.5838461538462,"Cancelled"
"18",10285160,2020-12-10,2021-01-28,1,2,4,"Agencia_10",57.6,"Confirmed"
"19",10299508,2020-12-14,2021-01-04,2,2,4,"Agencia_10",32.57,"Confirmed"
"20",10300305,2020-12-15,2021-01-03,5,2,4,"Agencia_10",36.63,"Cancelled"
"21",10301590,2020-12-15,2021-01-12,3,1,4,"Agencia_10",25.2266666666667,"Cancelled"
"22",10304851,2020-12-16,2021-01-09,1,2,4,"Agencia_10",53.1,"Confirmed"
"23",10316171,2020-12-20,2021-01-05,1,2,4,"Agencia_10",44.1,"Confirmed"
"24",10308888,2020-12-17,2021-01-18,1,1,4,"Agencia_10",44.21,"Confirmed"
"25",10311500,2020-12-18,2021-01-07,3,2,4,"Agencia_10",35.2666666666667,"Confirmed"
"26",10350430,2021-01-02,2021-01-03,3,2,4,"Agencia_10",40.5,"Confirmed"
"27",10322998,2020-12-22,2021-01-23,1,2,4,"Agencia_10",59,"Confirmed"
"28",10322994,2020-12-22,2021-01-08,3,1,4,"Agencia_10",30.2533333333333,"Confirmed"
"29",10323452,2020-12-22,2021-01-13,4,2,4,"Agencia_10",45.985,"Confirmed"
"30",10343068,2020-12-30,2021-01-08,1,2,4,"Agencia_10",40.5,"Confirmed"
"31",10350805,2021-01-03,2021-01-03,1,2,4,"Agencia_10",40.5,"Cancelled"
"32",10326384,2020-12-24,2021-01-12,1,3,4,"Agencia_10",44.87,"Confirmed"
"33",10344434,2020-12-31,2021-01-07,1,3,4,"Agencia_10",52.97,"Confirmed"
"34",10344788,2020-12-31,2021-01-02,1,2,4,"Agencia_10",50.3,"Confirmed"
"35",10336997,2020-12-28,2021-01-11,2,2,4,"Agencia_10",51.005,"Confirmed"
"36",10347810,2021-01-01,2021-01-04,1,2,4,"Agencia_10",40.5,"Confirmed"
"37",10339016,2020-12-29,2021-01-02,2,2,4,"Agencia_10",54.005,"Confirmed"
"38",10339339,2020-12-29,2021-01-03,1,2,4,"Agencia_10",40.5,"Confirmed"
"39",10339445,2020-12-29,2021-01-10,4,2,4,"Agencia_10",42.925,"Confirmed"
"40",10354195,2021-01-04,2021-01-05,2,2,4,"Agencia_10",40.5,"Confirmed"
"41",10393628,2021-01-19,2021-01-19,1,2,4,"Agencia_10",47.81,"Cancelled"
"42",10359676,2021-01-06,2021-01-07,1,1,4,"Agencia_10",37,"Cancelled"
"43",10360335,2021-01-06,2021-01-14,1,2,4,"Agencia_10",53,"Confirmed"
"44",10361909,2021-01-07,2021-01-07,1,2,4,"Agencia_10",40.5,"Cancelled"
"45",10363112,2021-01-07,2021-01-08,7,2,4,"Agencia_10",44.1,"Cancelled"
"46",10389404,2021-01-17,2021-01-19,2,2,4,"Agencia_10",53,"Confirmed"
"47",10363919,2021-01-08,2021-01-08,1,2,4,"Agencia_10",40.5,"Cancelled"
"48",10364151,2021-01-07,2021-01-08,1,2,4,"Agencia_10",33.01,"Cancelled"
"49",10364868,2021-01-08,2021-01-08,1,2,4,"Agencia_10",24.51,"Cancelled"
"50",10365135,2021-01-08,2021-01-08,1,2,4,"Agencia_10",40.5,"Cancelled"
"51",10365212,2021-01-08,2021-01-08,1,2,4,"Agencia_10",40.5,"Cancelled"
"52",10381888,2021-01-14,2021-01-19,1,1,4,"Agencia_10",35.33,"Confirmed"
"53",10381891,2021-01-14,2021-01-19,1,1,4,"Agencia_10",35.33,"Confirmed"
"54",10366773,2021-01-09,2021-01-09,1,2,4,"Agencia_10",44.1,"Confirmed"
"55",10367362,2021-01-09,2021-01-09,1,2,4,"Agencia_10",44.31,"Confirmed"
"56",10367358,2021-01-09,2021-01-11,3,2,4,"Agencia_10",49,"Cancelled"
"57",10368575,2021-01-09,2021-01-10,2,2,4,"Agencia_10",42.5,"Cancelled"
"58",10368925,2021-01-09,2021-01-10,1,2,4,"Agencia_10",37.7,"Confirmed"
"59",10384478,2021-01-15,2021-01-15,1,2,4,"Agencia_10",47.7,"Cancelled"
"60",10385010,2021-01-15,2021-01-15,1,2,4,"Agencia_10",37.01,"Cancelled"
"61",10385008,2021-01-15,2021-01-15,1,2,4,"Agencia_10",37.01,"Cancelled"
"62",10385054,2021-01-15,2021-01-16,1,2,4,"Agencia_10",53.31,"Cancelled"
"63",10390684,2021-01-18,2021-02-13,1,2,4,"Agencia_10",43.01,"Confirmed"
"64",10390704,2021-01-18,2021-01-21,1,1,4,"Agencia_10",36.82,"Confirmed"
"65",10370587,2021-01-10,2021-01-11,1,2,4,"Agencia_10",44.1,"Cancelled"
"66",10370933,2021-01-11,2021-01-11,1,2,4,"Agencia_10",44.1,"Cancelled"
"67",10395147,2021-01-19,2021-01-23,1,2,4,"Agencia_10",53.1,"Cancelled"
"68",10391446,2021-01-18,2021-01-25,1,1,4,"Agencia_10",36.82,"Confirmed"
"69",10391669,2021-01-18,2021-01-25,2,2,4,"Agencia_10",44.1,"Confirmed"
"70",10397644,2021-01-20,2021-02-08,5,2,4,"Agencia_10",37.48,"Confirmed"
"71",10371828,2021-01-11,2021-01-11,2,2,4,"Agencia_10",44.1,"Cancelled"
"72",10371957,2021-01-11,2021-01-12,2,1,4,"Agencia_10",42.505,"Cancelled"
"73",10387589,2021-01-16,2021-01-19,1,2,4,"Agencia_10",53,"Confirmed"
"74",10363909,2021-01-08,2021-01-12,2,3,4,"Agencia_10",49.45,"Cancelled"
"75",10398702,2021-01-21,2021-01-23,4,2,4,"Agencia_10",43.5475,"Confirmed"
"76",10399071,2021-01-21,2021-01-23,1,2,4,"Agencia_10",51.3,"Confirmed"
"77",10399074,2021-01-21,2021-01-24,3,2,4,"Agencia_10",41.2966666666667,"Confirmed"
"78",10409509,2021-01-25,2021-04-01,4,2,4,"Agencia_10",40.53,"Confirmed"
"79",10406047,2021-01-24,2021-04-01,4,2,4,"Agencia_10",48.6525,"Confirmed"
"80",10406082,2021-01-24,2021-04-01,3,2,4,"Agencia_10",62.3066666666667,"Confirmed"
"81",10406093,2021-01-24,2021-04-01,3,2,4,"Agencia_10",62.3066666666667,"Confirmed"
"82",10406127,2021-01-24,2021-01-25,1,2,4,"Agencia_10",44.1,"Cancelled"
"83",10406530,2021-01-24,2021-05-13,3,2,4,"Agencia_10",92.6733333333333,"Confirmed"
"84",10406532,2021-01-24,2021-05-13,3,2,4,"Agencia_10",92.6733333333333,"Confirmed"
